id,grid_row,grid_col,orig_x,orig_y,sheet_x,sheet_y,edge_top,edge_right,edge_bottom,edge_left,block_height,block_width,sprite_width,sprite_height
0,4,1,256,680,0,0,SLOT,TAB,SLOT,SLOT,170,256,288,171
1,2,3,736,292,322,0,TAB,SLOT,TAB,TAB,170,256,289,266
2,3,6,1536,510,644,0,SLOT,TAB,TAB,SLOT,170,256,288,218
3,9,3,768,1482,966,0,TAB,SLOT,FLAT,SLOT,170,256,257,219
4,4,3,736,680,1288,0,SLOT,TAB,TAB,TAB,170,256,320,218
5,2,2,480,340,1610,0,SLOT,SLOT,SLOT,TAB,170,256,289,171
6,8,1,256,1312,1932,0,TAB,TAB,SLOT,SLOT,170,256,288,219
7,3,7,1792,510,2254,0,SLOT,TAB,SLOT,SLOT,170,256,288,171
8,8,3,736,1360,2576,0,SLOT,SLOT,SLOT,TAB,170,256,289,171
9,9,8,2016,1482,2898,0,TAB,SLOT,FLAT,TAB,170,256,289,219
10,5,1,256,802,0,268,TAB,SLOT,SLOT,SLOT,170,256,257,219
11,0,9,2304,0,322,268,FLAT,FLAT,SLOT,SLOT,170,256,257,171
12,1,0,0,170,644,268,SLOT,TAB,TAB,FLAT,170,256,288,218
13,4,6,1536,680,966,268,SLOT,SLOT,TAB,SLOT,170,256,257,218
14,7,0,0,1142,1288,268,TAB,TAB,SLOT,FLAT,170,256,288,219
15,7,8,2048,1142,1610,268,TAB,TAB,TAB,SLOT,170,256,288,266
16,4,5,1280,632,1932,268,TAB,TAB,SLOT,SLOT,170,256,288,219
17,8,9,2304,1360,2254,268,SLOT,FLAT,SLOT,SLOT,170,256,257,171
18,4,9,2304,680,2576,268,SLOT,FLAT,SLOT,SLOT,170,256,257,171
19,2,0,0,340,2898,268,SLOT,TAB,SLOT,FLAT,170,256,288,171
20,8,8,2048,1360,0,536,SLOT,TAB,SLOT,SLOT,170,256,288,171
21,2,6,1504,340,322,536,SLOT,SLOT,TAB,TAB,170,256,289,218
22,2,1,256,292,644,536,TAB,SLOT,TAB,SLOT,170,256,257,266
23,3,4,992,462,966,536,TAB,SLOT,TAB,TAB,170,256,289,266
24,5,0,0,850,1288,536,SLOT,TAB,SLOT,FLAT,170,256,288,171
25,9,6,1504,1530,1610,536,SLOT,TAB,FLAT,TAB,170,256,320,171
26,7,1,256,1142,1932,536,TAB,TAB,SLOT,SLOT,170,256,288,219
27,6,0,0,972,2254,536,TAB,SLOT,SLOT,FLAT,170,256,257,219
28,1,4,1024,170,2576,536,SLOT,TAB,TAB,SLOT,170,256,288,218
