id,grid_row,grid_col,orig_x,orig_y,sheet_x,sheet_y,edge_top,edge_right,edge_bottom,edge_left,block_height,block_width,sprite_width,sprite_height
0,0,0,0,0,0,0,FLAT,TAB,SLOT,FLAT,170,256,288,171
1,0,1,256,0,322,0,FLAT,TAB,SLOT,SLOT,170,256,288,171
2,0,2,512,0,644,0,FLAT,SLOT,SLOT,SLOT,170,256,257,171
3,0,3,736,0,966,0,FLAT,SLOT,SLOT,TAB,170,256,289,171
4,0,4,992,0,1288,0,FLAT,SLOT,TAB,TAB,170,256,289,218
5,0,5,1248,0,1610,0,FLAT,TAB,SLOT,TAB,170,256,320,171
6,0,6,1536,0,1932,0,FLAT,SLOT,TAB,SLOT,170,256,257,218
7,0,7,1760,0,2254,0,FLAT,SLOT,TAB,TAB,170,256,289,218
8,0,8,2016,0,2576,0,FLAT,TAB,TAB,TAB,170,256,320,218
9,0,9,2304,0,2898,0,FLAT,FLAT,TAB,SLOT,170,256,257,218
10,1,0,0,122,0,268,TAB,TAB,SLOT,FLAT,170,256,288,219
11,1,1,256,122,322,268,TAB,SLOT,SLOT,SLOT,170,256,257,219
12,1,2,480,122,644,268,TAB,TAB,SLOT,TAB,170,256,320,219
13,1,3,768,122,966,268,TAB,TAB,TAB,SLOT,170,256,288,266
14,1,4,1024,170,1288,268,SLOT,SLOT,SLOT,SLOT,170,256,257,171
15,1,5,1248,122,1610,268,TAB,SLOT,SLOT,TAB,170,256,289,219
16,1,6,1504,170,1932,268,SLOT,TAB,SLOT,TAB,170,256,320,171
17,1,7,1792,170,2254,268,SLOT,TAB,SLOT,SLOT,170,256,288,171
18,1,8,2048,170,2576,268,SLOT,SLOT,SLOT,SLOT,170,256,257,171
19,1,9,2272,170,2898,268,SLOT,FLAT,SLOT,TAB,170,256,289,171
20,2,0,0,292,0,536,TAB,SLOT,TAB,FLAT,170,256,257,266
21,2,1,224,292,322,536,TAB,TAB,SLOT,TAB,170,256,320,219
22,2,2,512,292,644,536,TAB,SLOT,SLOT,SLOT,170,256,257,219
23,2,3,736,340,966,536,SLOT,SLOT,SLOT,TAB,170,256,289,171
24,2,4,992,292,1288,536,TAB,SLOT,SLOT,TAB,170,256,289,219
25,2,5,1248,292,1610,536,TAB,TAB,SLOT,TAB,170,256,320,219
26,2,6,1536,292,1932,536,TAB,SLOT,SLOT,SLOT,170,256,257,219
27,2,7,1760,292,2254,536,TAB,TAB,TAB,TAB,170,256,320,266
28,2,8,2048,292,2576,536,TAB,TAB,SLOT,SLOT,170,256,288,219
29,2,9,2304,292,2898,536,TAB,FLAT,SLOT,SLOT,170,256,257,219
30,3,0,0,510,0,804,SLOT,TAB,TAB,FLAT,170,256,288,218
31,3,1,256,462,322,804,TAB,SLOT,TAB,SLOT,170,256,257,266
32,3,2,480,462,644,804,TAB,TAB,TAB,TAB,170,256,320,266
33,3,3,768,462,966,804,TAB,SLOT,SLOT,SLOT,170,256,257,219
34,3,4,992,462,1288,804,TAB,TAB,TAB,TAB,170,256,320,266
35,3,5,1280,462,1610,804,TAB,TAB,TAB,SLOT,170,256,288,266
36,3,6,1536,462,1932,804,TAB,TAB,TAB,SLOT,170,256,288,266
37,3,7,1792,510,2254,804,SLOT,TAB,SLOT,SLOT,170,256,288,171
38,3,8,2048,462,2576,804,TAB,SLOT,TAB,SLOT,170,256,257,266
39,3,9,2272,462,2898,804,TAB,FLAT,SLOT,TAB,170,256,289,219
40,4,0,0,680,0,1072,SLOT,TAB,TAB,FLAT,170,256,288,218
41,4,1,256,680,322,1072,SLOT,SLOT,TAB,SLOT,170,256,257,218
42,4,2,480,680,644,1072,SLOT,TAB,TAB,TAB,170,256,320,218
43,4,3,768,632,966,1072,TAB,TAB,SLOT,SLOT,170,256,288,219
44,4,4,1024,680,1288,1072,SLOT,SLOT,TAB,SLOT,170,256,257,218
45,4,5,1248,680,1610,1072,SLOT,SLOT,TAB,TAB,170,256,289,218
46,4,6,1504,680,1932,1072,SLOT,TAB,SLOT,TAB,170,256,320,171
47,4,7,1792,632,2254,1072,TAB,TAB,SLOT,SLOT,170,256,288,219
48,4,8,2048,680,2576,1072,SLOT,SLOT,SLOT,SLOT,170,256,257,171
49,4,9,2272,632,2898,1072,TAB,FLAT,SLOT,TAB,170,256,289,219
50,5,0,0,850,0,1340,SLOT,TAB,SLOT,FLAT,170,256,288,171
51,5,1,256,850,322,1340,SLOT,TAB,SLOT,SLOT,170,256,288,171
52,5,2,512,850,644,1340,SLOT,TAB,SLOT,SLOT,170,256,288,171
53,5,3,768,802,966,1340,TAB,SLOT,TAB,SLOT,170,256,257,266
54,5,4,992,850,1288,1340,SLOT,SLOT,TAB,TAB,170,256,289,218
55,5,5,1248,850,1610,1340,SLOT,SLOT,SLOT,TAB,170,256,289,171
56,5,6,1504,802,1932,1340,TAB,TAB,TAB,TAB,170,256,320,266
57,5,7,1792,802,2254,1340,TAB,TAB,TAB,SLOT,170,256,288,266
58,5,8,2048,802,2576,1340,TAB,SLOT,TAB,SLOT,170,256,257,266
59,5,9,2272,802,2898,1340,TAB,FLAT,TAB,TAB,170,256,289,266
60,6,0,0,972,0,1608,TAB,SLOT,SLOT,FLAT,170,256,257,219
61,6,1,224,972,322,1608,TAB,SLOT,SLOT,TAB,170,256,289,219
62,6,2,480,972,644,1608,TAB,SLOT,TAB,TAB,170,256,289,266
63,6,3,736,1020,966,1608,SLOT,SLOT,TAB,TAB,170,256,289,218
64,6,4,992,1020,1288,1608,SLOT,TAB,TAB,TAB,170,256,320,218
65,6,5,1280,972,1610,1608,TAB,TAB,SLOT,SLOT,170,256,288,219
66,6,6,1536,1020,1932,1608,SLOT,TAB,SLOT,SLOT,170,256,288,171
67,6,7,1792,1020,2254,1608,SLOT,TAB,SLOT,SLOT,170,256,288,171
68,6,8,2048,1020,2576,1608,SLOT,SLOT,TAB,SLOT,170,256,257,218
69,6,9,2272,1020,2898,1608,SLOT,FLAT,TAB,TAB,170,256,289,218
70,7,0,0,1142,0,1876,TAB,SLOT,TAB,FLAT,170,256,257,266
71,7,1,224,1142,322,1876,TAB,TAB,TAB,TAB,170,256,320,266
72,7,2,512,1190,644,1876,SLOT,SLOT,TAB,SLOT,170,256,257,218
73,7,3,736,1190,966,1876,SLOT,SLOT,TAB,TAB,170,256,289,218
74,7,4,992,1190,1288,1876,SLOT,TAB,SLOT,TAB,170,256,320,171
75,7,5,1280,1142,1610,1876,TAB,SLOT,SLOT,SLOT,170,256,257,219
76,7,6,1504,1142,1932,1876,TAB,SLOT,SLOT,TAB,170,256,289,219
77,7,7,1760,1142,2254,1876,TAB,SLOT,TAB,TAB,170,256,289,266
78,7,8,2016,1190,2576,1876,SLOT,SLOT,TAB,TAB,170,256,289,218
79,7,9,2272,1190,2898,1876,SLOT,FLAT,SLOT,TAB,170,256,289,171
80,8,0,0,1360,0,2144,SLOT,TAB,SLOT,FLAT,170,256,288,171
81,8,1,256,1360,322,2144,SLOT,SLOT,TAB,SLOT,170,256,257,218
82,8,2,480,1360,644,2144,SLOT,TAB,TAB,TAB,170,256,320,218
83,8,3,768,1360,966,2144,SLOT,SLOT,TAB,SLOT,170,256,257,218
84,8,4,992,1312,1288,2144,TAB,SLOT,TAB,TAB,170,256,289,266
85,8,5,1248,1312,1610,2144,TAB,TAB,SLOT,TAB,170,256,320,219
86,8,6,1536,1312,1932,2144,TAB,SLOT,SLOT,SLOT,170,256,257,219
87,8,7,1760,1360,2254,2144,SLOT,TAB,TAB,TAB,170,256,320,218
88,8,8,2048,1360,2576,2144,SLOT,SLOT,SLOT,SLOT,170,256,257,171
89,8,9,2272,1312,2898,2144,TAB,FLAT,SLOT,TAB,170,256,289,219
90,9,0,0,1482,0,2412,TAB,TAB,FLAT,FLAT,170,256,288,219
91,9,1,256,1530,322,2412,SLOT,SLOT,FLAT,SLOT,170,256,257,171
92,9,2,480,1530,644,2412,SLOT,TAB,FLAT,TAB,170,256,320,171
93,9,3,768,1530,966,2412,SLOT,SLOT,FLAT,SLOT,170,256,257,171
94,9,4,992,1530,1288,2412,SLOT,SLOT,FLAT,TAB,170,256,289,171
95,9,5,1248,1482,1610,2412,TAB,SLOT,FLAT,TAB,170,256,289,219
96,9,6,1504,1482,1932,2412,TAB,SLOT,FLAT,TAB,170,256,289,219
97,9,7,1760,1530,2254,2412,SLOT,TAB,FLAT,TAB,170,256,320,171
98,9,8,2048,1482,2576,2412,TAB,TAB,FLAT,SLOT,170,256,288,219
99,9,9,2304,1482,2898,2412,TAB,FLAT,FLAT,SLOT,170,256,257,219
